Estado,Anio,PIB,PIBperCapita,Poblacion
Aguascalientes,2003,121197.634,118424.4415,1023418
Aguascalientes,2004,126554.147,120978.8604,1046085
Aguascalientes,2005,129628.028,121289.1333,1068753
Aguascalientes,2006,138111.823,126543.2864,1091420
Aguascalientes,2007,150305.117,134913.2671,1114088
Aguascalientes,2008,150949.983,132790.3222,1136755
Aguascalientes,2009,143253.947,123556.3684,1159422
Aguascalientes,2010,152205.212,128759.498,1182090
Aguascalientes,2011,158934.494,131922.4929,1204757
Aguascalientes,2012,167705.967,136632.4652,1227425
Aguascalientes,2013,172820.491,138246.2842,1250092
Aguascalientes,2014,190482.862,149661.3985,1272759
Aguascalientes,2015,198220.641,153015.7727,1295427
Aguascalientes,2016,211672.469,160589.8618,1318094
Aguascalientes,2017,216705.56,161628.7765,1340762
Aguascalientes,2018,224807.469,164883.9565,1363429
Baja California,2003,399514.624,149338.6588,2675226
Baja California,2004,423005.499,153840.2691,2749641
Baja California,2005,433008.166,153328.4576,2824057
Baja California,2006,456019.296,157330.9693,2898472
Baja California,2007,461581.274,155263.6739,2972887
Baja California,2008,457556.565,150151.3861,3047302
Baja California,2009,407745.948,130615.9308,3121717
Baja California,2010,428162.546,133962.7231,3196132
Baja California,2011,440700.662,134748.2968,3270548
Baja California,2012,456024.472,136331.72,3344963
Baja California,2013,465524.695,136143.1107,3419378
Baja California,2014,478121.939,136848.9711,3493793
Baja California,2015,511459.528,143337.9283,3568208
Baja California,2016,535552.651,147023.8999,3642624
Baja California,2017,553327.213,148862.3937,3717039
Baja California,2018,565895.378,149255.5261,3791454
Baja California Sur,2003,76047.593,152152.6997,499811
Baja California Sur,2004,81546.009,158244.9744,515315
Baja California Sur,2005,87397.67,164646.8382,530819
Baja California Sur,2006,93655.622,171429.0301,546323
Baja California Sur,2007,106199.426,189025.1376,561827
Baja California Sur,2008,108975.356,188757.1532,577331
Baja California Sur,2009,108338.811,182746.9886,592835
Baja California Sur,2010,110656.4,181899.2371,608339
Baja California Sur,2011,114707.762,183872.8045,623843
Baja California Sur,2012,117345.833,183540.1324,639347
Baja California Sur,2013,115027.644,175654.6818,654851
Baja California Sur,2014,116027.018,173082.9456,670355
Baja California Sur,2015,130520.642,190302.4412,685859
Baja California Sur,2016,133948.675,190983.3781,701363
Baja California Sur,2017,148376.63,206979.3002,716867
Baja California Sur,2018,173047.36,236283.7414,732371
Campeche,2003,1047511.322,1434326.601,730316
Campeche,2004,1059561.025,1424044.925,744051
Campeche,2005,1038533.775,1370486.416,757785
Campeche,2006,1014280.35,1314653.209,771520
Campeche,2007,947575.493,1206712.333,785254
Campeche,2008,867231.044,1085411.362,798989
Campeche,2009,780757.429,960668.6956,812723
Campeche,2010,753968.591,912289.7212,826458
Campeche,2011,726503.856,864687.9822,840192
Campeche,2012,714787.065,837059.2963,853927
Campeche,2013,721085.063,831067.7744,867661
Campeche,2014,685981.27,778289.9794,881396
Campeche,2015,637604.643,712303.9592,895130
Campeche,2016,600612.272,660838.0664,908865
Campeche,2017,537882.577,583007.9522,922600
Campeche,2018,529584.304,565593.6374,936334
Chiapas,2003,248123.227,59160.16251,4194094
Chiapas,2004,238375.89,55803.38944,4271710
Chiapas,2005,240279.559,55245.23118,4349327
Chiapas,2006,248414.302,56114.1792,4426944
Chiapas,2007,252536.304,56062.36457,4504561
Chiapas,2008,258289.89,56368.37708,4582178
Chiapas,2009,256698.362,55087.92086,4659794
Chiapas,2010,270989.331,57201.99122,4737411
Chiapas,2011,279446.584,58036.34082,4815028
Chiapas,2012,284733.625,58196.26349,4892645
Chiapas,2013,280925.273,56521.22862,4970262
Chiapas,2014,294029.165,58248.07183,5047879
Chiapas,2015,287811.831,56152.98359,5125495
Chiapas,2016,287034.269,55165.88619,5203112
Chiapas,2017,277580.835,52564.87488,5280729
Chiapas,2018,271621.449,50691.29195,5358346
Chihuahua,2003,360426.663,115157.0471,3129871
Chihuahua,2004,376662.637,118543.8275,3177413
Chihuahua,2005,389210.794,120687.2277,3224955
Chihuahua,2006,419631.539,128229.8049,3272497
Chihuahua,2007,434649.92,130917.1545,3320038
Chihuahua,2008,440792.887,130893.08,3367580
Chihuahua,2009,401079.179,117442.1377,3415122
Chihuahua,2010,417796.42,120657.532,3462664
